id,dias_flor,dias_fruto,dias_fin_flor,dias_muerte,dias_fin_fruto
2,NA,NA,NA,NA,NA
3,NA,NA,NA,165,165
4,NA,NA,NA,165,165
5,NA,NA,NA,NA,NA
6,NA,NA,NA,NA,NA
7,99,123,NA,NA,NA
8,NA,NA,NA,NA,NA
9,126,155,165,165,165
11,62,71,NA,NA,NA
12,NA,NA,NA,NA,NA
13,NA,NA,NA,165,165
14,NA,NA,NA,NA,NA
15,92,NA,NA,NA,NA
16,NA,119,NA,NA,NA
17,NA,NA,NA,NA,NA
18,62,71,141,165,165
19,103,130,NA,NA,NA
20,NA,NA,NA,165,165
22,103,125,NA,NA,NA
23,NA,NA,NA,NA,NA
24,NA,NA,NA,NA,NA
25,NA,NA,NA,NA,NA
26,82,103,NA,NA,NA
27,NA,NA,NA,NA,NA
28,NA,NA,NA,NA,NA
29,NA,NA,NA,161,161
30,NA,NA,NA,NA,NA
31,NA,NA,NA,NA,NA
32,NA,NA,NA,NA,NA
33,82,126,NA,NA,NA
34,103,119,NA,NA,NA
35,NA,NA,NA,NA,NA
37,NA,NA,NA,NA,NA
39,NA,NA,NA,NA,NA
40,113,133,NA,NA,NA
41,NA,NA,NA,NA,NA
42,133,NA,NA,NA,NA
43,NA,NA,NA,NA,NA
45,103,123,155,165,165
46,NA,NA,NA,NA,NA
47,99,125,NA,NA,NA
48,92,123,NA,NA,NA
49,NA,NA,NA,NA,NA
50,138,NA,NA,NA,NA
52,117,133,NA,NA,NA
53,NA,NA,NA,165,165
54,92,123,NA,NA,NA
55,NA,NA,NA,NA,NA
56,NA,NA,NA,165,165
57,NA,NA,NA,NA,NA
58,NA,NA,NA,NA,NA
59,NA,NA,NA,165,165
60,NA,NA,NA,165,165
61,47,55,134,145,145
62,85,96,134,161,161
63,47,47,47,131,131
64,68,75,126,131,131
66,47,47,134,138,138
76,47,47,138,145,145
77,NA,NA,138,145,145
78,NA,96,96,131,131
79,47,55,102,117,117
81,106,112,116,138,116
91,70,70,123,129,123
92,81,129,140,171,171
93,70,108,129,144,144
94,104,118,129,171,171
95,40,46,116,123,123
96,124,132,140,144,144
97,53,61,NA,122,122
99,53,61,NA,124,124
100,98,118,140,160,160
101,53,61,116,123,123
102,63,70,132,144,144
104,40,46,118,118,118
105,70,81,116,151,123
107,53,61,104,144,118
108,57,61,129,144,144
109,88,102,159,171,171
110,74,81,122,137,122
111,57,61,123,146,123
112,81,88,123,144,144
113,NA,NA,NA,NA,NA
114,98,104,154,171,123
116,98,102,102,NA,NA
117,40,70,129,137,137
118,67,88,125,151,151
119,40,46,140,167,167
120,40,46,140,144,144
241,116,129,NA,NA,NA
242,98,116,159,171,171
243,81,NA,NA,NA,NA
244,122,137,NA,NA,NA
246,124,NA,NA,NA,NA
247,129,140,164,171,171
248,104,116,164,174,174
249,NA,NA,NA,NA,NA
250,112,118,NA,NA,NA
251,112,122,NA,NA,NA
252,81,129,NA,NA,NA
253,122,137,NA,NA,NA
254,116,122,NA,NA,NA
256,102,108,NA,NA,NA
258,144,159,159,167,167
259,132,NA,NA,NA,NA
260,122,132,NA,NA,NA
261,102,116,NA,NA,123
262,108,118,NA,NA,NA
263A,82,105,NA,NA,NA
263B,91,NA,NA,NA,NA
264A,NA,NA,NA,NA,NA
264B,NA,NA,NA,NA,NA
265,137,NA,NA,NA,123
266,112,129,NA,NA,NA
270,98,108,116,137,124
271,98,116,132,132,132
272,132,NA,NA,NA,NA
273,116,137,171,NA,NA
274,108,129,144,181,NA
275,102,116,NA,NA,NA
276,102,122,NA,NA,NA
277,118,137,140,167,NA
278,122,NA,NA,NA,NA
279,122,NA,NA,NA,NA
280,130,NA,NA,NA,NA
281,124,NA,NA,NA,NA
282,118,NA,NA,NA,NA
283,130,NA,NA,NA,NA
284,132,NA,NA,NA,NA
286,NA,NA,NA,NA,NA
287,108,122,NA,NA,NA
288,129,NA,NA,NA,NA
289,98,116,124,NA,124
290,124,137,NA,NA,NA
291,98,116,137,NA,NA
292,112,125,NA,NA,NA
293,98,112,NA,NA,NA
294,102,125,132,181,NA
295,108,129,140,178,NA
296,132,137,NA,NA,NA
